id,camp,setdate,collectdate,site,name
1,CO,2013-07-03,2013-07-07,CO2_SS1,Riley
2,CO,2013-07-03,2013-07-07,CO2_SS2,Riley
3,CO,2013-07-03,2013-07-07,CO2_SS3,Riley
4,CO,2013-07-04,2013-07-12,CO1_DS2,Riley
5,CO,2013-07-04,2013-07-12,CO1_DS3,Riley
6,CO,2013-07-04,2013-07-12,CO1_DS4,Riley
7,CO,2013-07-04,2013-07-12,CO1_SS2,Riley
8,CO,2013-07-04,2013-07-12,CO1_SS4,Riley
9,CO,2013/07/04,2013/07/12,CO1-SS5,Charlie
10,CO,2013/07/07,2013/07/13,CO2-SS1,Charlie
11,CO,2013-07-07,2013-07-13,CO2_SS2,Riley
12,CO,2013-07-07,2013-07-13,CO2_SS3,Riley
13,CO,2013/07/06,2013/07/14,CO3-SS1,Charlie
14,CO,2013/07/06,2013/07/14,CO3-SS2,Charlie
15,CO,2013-07-11,2013-07-14,CO3_SS3,Riley
16,CO,2013-07-11,2013-07-14,CO3_SS4,Riley
17,CO,2013-07-11,2013-07-14,CO3_SS5,Riley
18,CO,2013/07/11,2013/07/14,CO3-SS6,Charlie
19,CO,2013-07-12,2013-07-16,CO1_DS2,Riley
20,CO,2013-07-12,2013-07-16,CO1_DS3,Riley
21,CO,2013/07/12,2013/07/16,CO1-DS4,Charlie
22,CO,2013-07-12,2013-07-16,CO1_SS1,Riley
23,CO,2013/07/12,2013/07/16,CO1-SS2,Charlie
24,CO,2013-07-12,2013-07-16,CO1_SS3,Riley
25,CO,2013/07/12,2013/07/16,CO1-SS4,Charlie
26,CO,2013-07-12,2013-07-16,CO1_SS5,Riley
27,CO,2013/07/13,2013/07/16,CO2-SS1,Charlie
28,CO,2013/07/13,2013/07/16,CO2-SS2,Charlie
29,CO,2013-07-13,2013-07-16,CO2_SS3,Riley
30,CO,2013-07-14,2013-07-17,CO3_SS1,Riley
31,CO,2013-07-14,2013-07-17,CO3_SS2,Riley
32,CO,2013-07-14,2013-07-17,CO3_SS3,Riley
33,CO,2013/07/14,2013/07/17,CO3-SS4,Charlie
34,CO,2013-07-14,2013-07-17,CO3_SS5,Riley
35,CO,2013-07-14,2013-07-17,CO3_SS6,Riley
36,CO,2013-07-16,2013-07-19,CO1_DS2,Riley
37,CO,2013/07/16,2013/07/19,CO1-DS3,Charlie
38,CO,2013/07/16,2013/07/19,CO1-DS4,Charlie
39,CO,2013-07-16,2013-07-19,CO1_SS1,Riley
40,CO,2013-07-16,2013-07-19,CO1_SS2,Riley
41,CO,2013-07-16,2013-07-19,CO1_SS3,Riley
42,CO,2013-07-16,2013-07-19,CO1_SS4,Riley
43,CO,2013/07/16,2013/07/19,CO1-SS5,Charlie
44,CO,2013-07-16,2013-07-19,CO2_SS1,Riley
45,CO,2013-07-16,2013-07-19,CO2_SS2,Riley
46,CO,2013-07-16,2013-07-19,CO2_SS3,Riley
47,CO,2013/07/17,2013/07/20,CO3-SS1,Charlie
48,CO,2013-07-17,2013-07-20,CO3_SS2,Riley
49,CO,2013-07-17,2013-07-20,CO3_SS3,Riley
50,CO,2013-07-17,2013-07-20,CO3_SS4,Riley
51,CO,2013-07-17,2013-07-20,CO3_SS5,Riley
52,CO,2013-07-17,2013-07-20,CO3_SS6,Riley
53,CO,2013-07-20,2013-07-21,CO3_SS1,Riley
54,CO,2013-07-20,2013-07-21,CO3_SS2,Riley
55,CO,2013-07-20,2013-07-21,CO3_SS3,Riley
56,CO,2013/07/20,2013/07/21,CO3-SS5,Charlie
57,CO,2013-07-20,2013-07-21,CO3_SS6,Riley
58,CO,2013/07/19,2013/07/22,CO1-DS2,Charlie
59,CO,2013/07/19,2013/07/22,CO1-DS3,Charlie
60,CO,2013-07-19,2013-07-22,CO1_DS4,Riley
61,CO,2013-07-19,2013-07-22,CO1_SS1,Riley
62,CO,2013-07-19,2013-07-22,CO1_SS2,Riley
63,CO,2013-07-19,2013-07-22,CO1_SS3,Riley
64,CO,2013-07-19,2013-07-22,CO1_SS4,Riley
65,CO,2013-07-19,2013-07-22,CO1_SS5,Riley
