id,taxon,count
1,Copris nubilosus,16
1,Dichotomius satanas,2
1,Eurysternus magnus,3
1,Onthophagus cyanellus,1
2,Copris nubilosus,15
2,Dichotomius satanas,5
2,Eurysternus magnus ,6
3,Copris nubilosus,33
3,Dichotomius satanas,2
3,Eurysternus magnus,1
4,Copris nubilosus,8
5,Copris nubilosus,1
6,Dichotomius satanas ,1
6,Eurysternus magnus,1
7,Copris nubilosus,11
7,Dichotomius satanas,3
8,Copris nubilosus,5
8,Dichotomius satanas,2
9,Copris nubilosus,3
9,Dichotomius satanas,4
10,Copris nubilosus ,20
10,Dichotomius satanas,17
10,Eurysternus magnus,7
10,Onthophagus breviconus,1
11,Copris nubilosus,28
11,Dichotomius satanas,4
11,Eurysternus magnus,2
12,Copris nubilosus,39
12,Dichotomius satanas,2
13,Copris nubilosus,22
13,Dichotomius satanas ,7
13,Eurysternus magnus,3
13,Onthophagus cyanellus,4
14,Copris nubilosus,14
14,Onthophagus breviconus,2
15,Copris nubilosus,23
15,Dichotomius satanas,3
16,Copris nubilosus,9
16,Dichotomius satanas,2
17,Copris nubilosus,15
17,Dichotomius satanas ,5
18,Copris nubilosus,42
18,Dichotomius satanas,4
18,Eurysternus magnus,2
18,Onthophagus cyanellus,1
19,Copris nubilosus,3
19,Dichotomius satanas,4
19,Eurysternus magnus,7
19,Onthophagus breviconus,1
20,Copris nubilosus,2
20,Dichotomius satanas,1
21,Dichotomius satanas,5
21,Eurysternus magnus,6
21,Onthophagus aff. anthracinus,1
22,Dichotomius satanas,3
22,Eurysternus magnus,5
23,Copris nubilosus,11
23,Dichotomius satanas ,15
23,Eurysternus magnus,1
23,Onthophagus cyanellus,1
24,Dichotomius satanas,4
24,Eurysternus magnus,3
24,Onthophagus aff. anthracinus,2
25,Dichotomius satanas,3
26,Copris nubilosus,3
26,Dichotomius satanas,1
26,Eurysternus magnus ,2
26,Eurysternus obliteratus,1
26,Onthophagus breviconus,1
26,Phanaeus endymion,3
27,Dichotomius satanas,2
27,Eurysternus magnus ,2
28,Copris nubilosus,9
28,Dichotomius satanas,3
28,Eurysternus magnus,1
29,Copris nubilosus,21
29,Dichotomius satanas,2
30,Copris nubilosus,23
30,Dichotomius satanas,5
31,Copris nubilosus,15
31,Dichotomius satanas,2
31,Eurysternus magnus,2
32,Copris nubilosus,28
32,Dichotomius satanas,5
32,Eurysternus magnus,4
32,Onthophagus cyanellus,2
33,Copris nubilosus,6
33,Dichotomius satanas,1
34,Copris nubilosus,19
34,Dichotomius satanas,1
34,Eurysternus magnus,3
34,Eurysternus obliteratus,1
34,Onthophagus cyanellus,1
35,Copris nubilosus,22
35,Dichotomius satanas,2
35,Eurysternus magnus,2
35,Onthophagus cyanellus,2
36,Copris nubilosus,6
36,Dichotomius satanas,8
36,Eurysternus magnus,3
37,Dichotomius satanas,17
37,Eurysternus magnus,5
38,Dichotomius satanas,17
38,Eurysternus magnus,6
39,Dichotomius satanas,2
39,Eurysternus magnus,3
40,Copris nubilosus,2
40,Dichotomius satanas,24
40,Eurysternus magnus,2
41,Copris nubilosus,2
41,Dichotomius satanas,4
41,Eurysternus magnus,7
42,Copris nubilosus,3
42,Dichotomius satanas,6
42,Eurysternus magnus,3
43,Copris nubilosus,2
43,Dichotomius satanas,5
43,Phanaeus endymion,2
44,Copris nubilosus,12
44,Dichotomius satanas,15
44,Eurysternus magnus,3
45,Copris nubilosus,3
45,Dichotomius satanas,6
46,Copris nubilosus,15
46,Dichotomius satanas,3
47,Copris nubilosus,17
48,Copris nubilosus,6
48,Dichotomius satanas,2
49,Copris nubilosus,13
49,Dichotomius satanas,3
50,Copris nubilosus,7
50,Onthophagus breviconus,1
51,Copris nubilosus,14
51,Eurysternus obliteratus,1
52,Copris nubilosus,31
52,Dichotomius satanas,1
52,Onthophagus cyanellus,1
53,Copris nubilosus,3
53,Dichotomius satanas,1
54,Copris nubilosus,1
55,Copris nubilosus,1
56,Copris nubilosus,1
57,Copris nubilosus,4
58,Copris nubilosus,4
58,Dichotomius satanas,4
58,Eurysternus magnus,1
59,Copris nubilosus,1
59,Dichotomius satanas,7
59,Eurysternus magnus,3
60,Copris nubilosus,1
60,Dichotomius satanas,3
60,Eurysternus magnus,3
60,Eurysternus obliteratus,1
61,Dichotomius satanas,3
61,Eurysternus magnus,7
61,Onthophagus aff. anthracinus,1
61,Onthophagus cyanellus,1
62,Copris nubilosus,7
62,Dichotomius satanas,21
62,Eurysternus magnus,2
63,Dichotomius satanas,3
63,Eurysternus magnus,2
64,Copris nubilosus,2
64,Dichotomius satanas,6
64,Eurysternus magnus,4
64,Phanaeus endymion,2
65,Copris nubilosus,1
65,Dichotomius satanas,6
65,Eurysternus magnus,1
