Danto Data 2013 Eli
camp,transect,setdate,collectdate,site,name,taxon,number
DA,DA0,2013-07-11,2013-07-15,SS1,Eli,Copris sp.nov.,7
DA,DA0,2013-07-11,2013-07-15,SS1,Eli,Dichotomius  satanas,2
DA,DA0,2013-07-11,2013-07-15,SS1,Eli,Eurysternus magnus,1
DA,DA0,2013-07-11,2013-07-15,SS1,Eli,Onthophagus  cyanellus,1
DA,DA0,2013-07-11,2013-07-15,SS2,Eli,Copris nubilosus,4
DA,DA0,2013-07-11,2013-07-15,SS2,Eli,Onthophagus breviconus,1
DA,DA0,2013-07-11,2013-07-15,SS3,Eli,Copris nubilosus,8
DA,DA0,2013-07-11,2013-07-15,SS3,Eli,Dichotomius  satanas,2
DA,DA0,2013-07-11,2013-07-15,SS4,Eli,Copris nubilosus,11
DA,DA0,2013-07-11,2013-07-15,SS4,Eli,Dichotomius satanas,1
DA,DA2,2013-07-11,2013-07-15,DS1,Eli,Copris nubilosus,21
DA,DA2,2013-07-11,2013-07-15,DS1,Eli,Dichotomius  satanas,2
DA,DA2,2013-07-11,2013-07-15,DS1,Eli,Onthophagus aff. belorinus,1
DA,DA2,2013-07-11,2013-07-15,DS1,Eli,Onthophagus cyanellus,1
DA,DA2,2013-07-11,2013-07-15,SS2,Eli,Copris  nubilosus,8
DA,DA2,2013-07-11,2013-07-15,SS3,Eli,Copris nubilosus,29
DA,DA2,2013-07-11,2013-07-15,SS3,Eli,Dichotomius satanas,12
DA,DA2,2013-07-11,2013-07-15,SS3,Eli,Eurysternus magnus,1
DA,DA2,2013-07-11,2013-07-15,SS3,Eli,Onthophagus cyanellus,1
DA,DA2,2013-07-11,2013-07-15,SS4,Eli,Copris  nubilosus,28
DA,DA2,2013-07-11,2013-07-15,SS4,Eli,Dichotomius satanas,5
DA,DA2,2013-07-11,2013-07-15,SS4,Eli,Eurystenus magnus,1
DA,DA1,2013-07-12,2013-07-17,DS2,Eli,Copris nubilosus,20
DA,DA1,2013-07-12,2013-07-17,DS2,Eli,Eurysternus magnus,1
DA,DA1,2013-07-12,2013-07-17,DS2,Eli,Onthophagus  aff. belhorinus,2
DA,DA1,2013-07-12,2013-07-17,DS2,Eli,Onthophagus cyanellus,2
DA,DA1,2013-07-12,2013-07-17,SS1,Eli,Copris nubilosus,6
DA,DA1,2013-07-12,2013-07-17,SS2,Eli,Copris nubilosus,12
DA,DA1,2013-07-12,2013-07-17,SS2,Eli,Dichotomius satanas,1
DA,DA1,2013-07-12,2013-07-17,SS3,Eli,Copris nubilosus,30
DA,DA1,2013-07-12,2013-07-17,SS3,Eli,Dichotomius satanas,1
DA,DA1,2013-07-12,2013-07-17,SS3,Eli,Onthophagus  cyanellus,1
DA,DA1,2013-07-12,2013-07-17,SS4,Eli,Copris nubilosus,4
DA,DA1,2013-07-12,2013-07-17,SS4,Eli,Onthophagus  cyanellus,1
DA,DA1,2013-07-12,2013-07-17,SS5,Eli,Copris nubilosus,38
DA,DA1,2013-07-12,2013-07-17,SS5,Eli,Onthophagus cyanellus,2
DA,DA1,2013-07-12,2013-07-17,SS6,Eli,Copris  nubilosus,31
DA,DA1,2013-07-12,2013-07-17,SS6,Eli,Dichotomius satanas,4
DA,DA4,2013-07-13,2013-07-16,DS2,Eli,Copris nubilosus,4
DA,DA4,2013-07-13,2013-07-16,DS3,Eli,Copris  nubilosus,1
DA,DA4,2013-07-13,2013-07-16,DS3,Eli,Onthophagus   aff. belhorinus,1
DA,DA4,2013-07-13,2013-07-16,DS4,Eli,Copris nubilosus,5
DA,DA4,2013-07-13,2013-07-16,DS4,Eli,Onthophagus belorinus,1
DA,DA4,2013-07-13,2013-07-16,SS1,Eli,Copris nubilosus,4
DA,DA4,2013-07-13,2013-07-16,SS1,Eli,Dichotomius satanas,1
DA,DA0,2013-07-15,2013-07-19,SS3,Eli,Copris nubilosus,3
DA,DA0,2013-07-15,2013-07-19,SS4,Eli,Copris  nubilosus,4
DA,DA2,2013-07-15,2013-07-19,DS1,Eli,Copris nubilosus,7
DA,DA2,2013-07-15,2013-07-19,DS1,Eli,Onthophagus aff. belhorinus,3
DA,DA2,2013-07-15,2013-07-19,SS2,Eli,Copris  nubilosus,2
DA,DA2,2013-07-15,2013-07-19,SS3,Eli,Copris  nubilosus,7
DA,DA2,2013-07-15,2013-07-19,SS4,Eli,Copris nubilosus,4
DA,DA4,2013-07-16,2013-07-20,DS2,Eli,Copris nubilosus,3
DA,DA4,2013-07-16,2013-07-20,DS2,Eli,Onthophagus rhinolophus,1
DA,DA4,2013-07-16,2013-07-20,DS3,Eli,Copris nubilosus,1
DA,DA4,2013-07-16,2013-07-20,DS3,Eli,Eurysternus magnus,2
