camp,site,taxon,count
BA,BA1_SS1,Copris laeviceps,0
BA,BA1_SS1,Copris lugubris,0
BA,BA1_SS1,Copris nubilosus,0
BA,BA1_SS1,Copris sp.nov.,0
BA,BA1_SS1,Dichotomius annae,4
BA,BA1_SS1,Dichotomius satanas,6
BA,BA1_SS1,Eurysternus foedus,0
BA,BA1_SS1,Eurysternus magnus,0
BA,BA1_SS1,Eurysternus mexicanus,2
BA,BA1_SS1,Eurysternus obliteratus,0
BA,BA1_SS1,Onthophagus aff. anthracinus,0
BA,BA1_SS1,Onthophagus aff. belhorinus,1
BA,BA1_SS1,Onthophagus breviconus,0
BA,BA1_SS1,Onthophagus cyanellus,0
BA,BA1_SS1,Onthophagus longimanus,0
BA,BA1_SS1,Onthophagus petenensis,0
BA,BA1_SS1,Onthophagus rhinolophus,0
BA,BA1_SS1,Onthophagus sp.nov. aff. subcancer,0
BA,BA1_SS1,Phanaeus endymion,1
BA,BA1_SS2,Copris laeviceps,0
BA,BA1_SS2,Copris lugubris,0
BA,BA1_SS2,Copris nubilosus,0
BA,BA1_SS2,Copris sp.nov.,0
BA,BA1_SS2,Dichotomius annae,5
BA,BA1_SS2,Dichotomius satanas,14
BA,BA1_SS2,Eurysternus foedus,0
BA,BA1_SS2,Eurysternus magnus,1
BA,BA1_SS2,Eurysternus mexicanus,3
BA,BA1_SS2,Eurysternus obliteratus,0
BA,BA1_SS2,Onthophagus aff. anthracinus,0
BA,BA1_SS2,Onthophagus aff. belhorinus,2
BA,BA1_SS2,Onthophagus breviconus,0
BA,BA1_SS2,Onthophagus cyanellus,0
BA,BA1_SS2,Onthophagus longimanus,0
BA,BA1_SS2,Onthophagus petenensis,0
BA,BA1_SS2,Onthophagus rhinolophus,2
BA,BA1_SS2,Onthophagus sp.nov. aff. subcancer,0
BA,BA1_SS2,Phanaeus endymion,0
BA,BA1_SS3,Copris laeviceps,0
BA,BA1_SS3,Copris lugubris,0
BA,BA1_SS3,Copris nubilosus,0
BA,BA1_SS3,Copris sp.nov.,0
BA,BA1_SS3,Dichotomius annae,19
BA,BA1_SS3,Dichotomius satanas,20
BA,BA1_SS3,Eurysternus foedus,0
BA,BA1_SS3,Eurysternus magnus,2
BA,BA1_SS3,Eurysternus mexicanus,2
BA,BA1_SS3,Eurysternus obliteratus,0
BA,BA1_SS3,Onthophagus aff. anthracinus,1
BA,BA1_SS3,Onthophagus aff. belhorinus,1
BA,BA1_SS3,Onthophagus breviconus,0
BA,BA1_SS3,Onthophagus cyanellus,0
BA,BA1_SS3,Onthophagus longimanus,1
BA,BA1_SS3,Onthophagus petenensis,0
BA,BA1_SS3,Onthophagus rhinolophus,0
BA,BA1_SS3,Onthophagus sp.nov. aff. subcancer,0
BA,BA1_SS3,Phanaeus endymion,0
BA,BA1_SS4,Copris laeviceps,0
BA,BA1_SS4,Copris lugubris,0
BA,BA1_SS4,Copris nubilosus,0
BA,BA1_SS4,Copris sp.nov.,0
BA,BA1_SS4,Dichotomius annae,4
BA,BA1_SS4,Dichotomius satanas,5
BA,BA1_SS4,Eurysternus foedus,0
BA,BA1_SS4,Eurysternus magnus,25
BA,BA1_SS4,Eurysternus mexicanus,1
BA,BA1_SS4,Eurysternus obliteratus,0
BA,BA1_SS4,Onthophagus aff. anthracinus,3
BA,BA1_SS4,Onthophagus aff. belhorinus,0
BA,BA1_SS4,Onthophagus breviconus,0
BA,BA1_SS4,Onthophagus cyanellus,1
BA,BA1_SS4,Onthophagus longimanus,1
BA,BA1_SS4,Onthophagus petenensis,0
BA,BA1_SS4,Onthophagus rhinolophus,0
BA,BA1_SS4,Onthophagus sp.nov. aff. subcancer,0
BA,BA1_SS4,Phanaeus endymion,3
BA,BA1_SS5,Copris laeviceps,0
BA,BA1_SS5,Copris lugubris,0
BA,BA1_SS5,Copris nubilosus,0
BA,BA1_SS5,Copris sp.nov.,0
BA,BA1_SS5,Dichotomius annae,7
BA,BA1_SS5,Dichotomius satanas,11
BA,BA1_SS5,Eurysternus foedus,0
BA,BA1_SS5,Eurysternus magnus,15
BA,BA1_SS5,Eurysternus mexicanus,0
BA,BA1_SS5,Eurysternus obliteratus,0
BA,BA1_SS5,Onthophagus aff. anthracinus,3
BA,BA1_SS5,Onthophagus aff. belhorinus,0
BA,BA1_SS5,Onthophagus breviconus,0
BA,BA1_SS5,Onthophagus cyanellus,0
BA,BA1_SS5,Onthophagus longimanus,0
BA,BA1_SS5,Onthophagus petenensis,0
BA,BA1_SS5,Onthophagus rhinolophus,0
BA,BA1_SS5,Onthophagus sp.nov. aff. subcancer,0
BA,BA1_SS5,Phanaeus endymion,13
BA,BA2_SS1,Copris laeviceps,1
BA,BA2_SS1,Copris lugubris,0
BA,BA2_SS1,Copris nubilosus,0
BA,BA2_SS1,Copris sp.nov.,0
BA,BA2_SS1,Dichotomius annae,4
BA,BA2_SS1,Dichotomius satanas,28
BA,BA2_SS1,Eurysternus foedus,0
BA,BA2_SS1,Eurysternus magnus,8
BA,BA2_SS1,Eurysternus mexicanus,0
BA,BA2_SS1,Eurysternus obliteratus,0
BA,BA2_SS1,Onthophagus aff. anthracinus,1
BA,BA2_SS1,Onthophagus aff. belhorinus,0
BA,BA2_SS1,Onthophagus breviconus,0
BA,BA2_SS1,Onthophagus cyanellus,1
BA,BA2_SS1,Onthophagus longimanus,0
BA,BA2_SS1,Onthophagus petenensis,0
BA,BA2_SS1,Onthophagus rhinolophus,0
BA,BA2_SS1,Onthophagus sp.nov. aff. subcancer,0
BA,BA2_SS1,Phanaeus endymion,0
BA,BA2_SS2,Copris laeviceps,1
BA,BA2_SS2,Copris lugubris,0
BA,BA2_SS2,Copris nubilosus,0
BA,BA2_SS2,Copris sp.nov.,0
BA,BA2_SS2,Dichotomius annae,1
BA,BA2_SS2,Dichotomius satanas,11
BA,BA2_SS2,Eurysternus foedus,0
BA,BA2_SS2,Eurysternus magnus,22
BA,BA2_SS2,Eurysternus mexicanus,0
BA,BA2_SS2,Eurysternus obliteratus,0
BA,BA2_SS2,Onthophagus aff. anthracinus,0
BA,BA2_SS2,Onthophagus aff. belhorinus,0
BA,BA2_SS2,Onthophagus breviconus,0
BA,BA2_SS2,Onthophagus cyanellus,0
BA,BA2_SS2,Onthophagus longimanus,0
BA,BA2_SS2,Onthophagus petenensis,0
BA,BA2_SS2,Onthophagus rhinolophus,0
BA,BA2_SS2,Onthophagus sp.nov. aff. subcancer,0
BA,BA2_SS2,Phanaeus endymion,0
BA,BA2_SS3,Copris laeviceps,1
BA,BA2_SS3,Copris lugubris,0
BA,BA2_SS3,Copris nubilosus,0
BA,BA2_SS3,Copris sp.nov.,0
BA,BA2_SS3,Dichotomius annae,2
BA,BA2_SS3,Dichotomius satanas,12
BA,BA2_SS3,Eurysternus foedus,0
BA,BA2_SS3,Eurysternus magnus,25
BA,BA2_SS3,Eurysternus mexicanus,0
BA,BA2_SS3,Eurysternus obliteratus,0
BA,BA2_SS3,Onthophagus aff. anthracinus,1
BA,BA2_SS3,Onthophagus aff. belhorinus,0
BA,BA2_SS3,Onthophagus breviconus,0
BA,BA2_SS3,Onthophagus cyanellus,0
BA,BA2_SS3,Onthophagus longimanus,0
BA,BA2_SS3,Onthophagus petenensis,0
BA,BA2_SS3,Onthophagus rhinolophus,0
BA,BA2_SS3,Onthophagus sp.nov. aff. subcancer,0
BA,BA2_SS3,Phanaeus endymion,1
BA,BA2_SS5,Copris laeviceps,1
BA,BA2_SS5,Copris lugubris,0
BA,BA2_SS5,Copris nubilosus,1
BA,BA2_SS5,Copris sp.nov.,0
BA,BA2_SS5,Dichotomius annae,0
BA,BA2_SS5,Dichotomius satanas,36
